,xni,str,step,dy_m,dy_std
383,0.25,100,500.0,353.81232631036426,43.673219878352995
384,0.25,100,520.0,373.64109544510086,23.108027002235236
385,0.25,100,540.0,382.9354420322147,
386,0.25,120,80.0,284.52506524929424,36.50869070898604
387,0.25,120,100.0,324.80350283287567,52.500929114717806
388,0.25,120,120.0,379.1792258666275,76.49351207309304
389,0.25,120,140.0,424.27890322570255,82.23093206635806
390,0.25,120,160.0,458.6213604867705,82.02468789400079
391,0.25,120,180.0,495.3067336439295,83.31713081367964
392,0.25,120,200.0,530.5465757716238,85.86858517686787
393,0.25,120,220.0,563.2511760245172,95.34402533727685
394,0.25,120,240.0,605.5558412131844,104.35791506213243
395,0.25,120,260.0,639.5059227780989,116.07713694414866
396,0.25,120,280.0,668.1556276609266,123.5368713970486
397,0.25,120,300.0,691.7370618787169,137.7893019570278
398,0.25,120,320.0,716.3613140666108,149.18932034622836
399,0.25,120,340.0,739.3808245964392,156.65314389128113
400,0.25,120,360.0,760.3584223271533,166.3398880444618
401,0.25,120,380.0,781.0323650038032,169.43304506123033
402,0.25,120,400.0,805.9866995308686,171.50072688824716
403,0.25,120,420.0,834.6767088902776,172.99827629178827
404,0.25,120,440.0,869.0580478653997,180.1907375575669
405,0.25,120,460.0,898.1159923949426,191.7589024509297
406,0.25,120,480.0,923.4260836673608,197.91077616652177
407,0.25,120,500.0,949.1664538049972,200.8114843196991
408,0.25,120,520.0,985.7272043903545,198.43940258404012
409,0.25,120,540.0,1023.288577832844,197.2938509738276
410,0.25,150,80.0,380.01856067303316,32.15045762280611
411,0.25,150,100.0,472.0793741661196,35.634661325093
412,0.25,150,120.0,546.8747786950315,38.09889697364371
413,0.25,150,140.0,603.639810460679,56.533483585741514
414,0.25,150,160.0,672.0552536991498,73.33945089661478
415,0.25,150,180.0,740.1389566393835,81.31916016066936
416,0.25,150,200.0,805.7788305363691,85.59246120594156
417,0.25,150,220.0,868.2879996308251,90.9568868715727
418,0.25,150,240.0,926.1768640013876,94.81773450282527
419,0.25,150,260.0,977.0542630415971,95.65265957295283
420,0.25,150,280.0,1027.6987457544544,99.68177520629472
421,0.25,150,300.0,1095.0247282450666,105.14981380725823
422,0.25,150,320.0,1160.943535602021,106.59388541347148
423,0.25,150,340.0,1215.9912506094122,118.95911748175759
424,0.25,150,360.0,1263.6881849243491,122.97072059654431
425,0.25,150,380.0,1318.0933948642485,126.14454505576788
426,0.25,150,400.0,1372.4626303924172,123.61319570050452
427,0.25,150,420.0,1430.9586728654958,123.11071172513256
428,0.25,150,440.0,1499.5733385171218,135.7427345789102
429,0.25,150,460.0,1554.494642596451,148.5816849249575
430,0.25,150,480.0,1606.123637957693,156.69562788947655
431,0.25,150,500.0,1653.069702504701,164.98583982510027
432,0.25,150,520.0,1710.1633321538218,178.72245289845276
433,0.25,150,540.0,1769.7265610902266,188.37076167225786
